'id','aopf','hygleadtime','lrff','actual','averagedn','category','chinesebrand','clazz','competitorleadtime','competitorname','competitorpricing','dealerhandlingcost','dealernet','dealerpremiumpercentage','dealerpricingpremium','dealerpricingpremiumpercentage','dealerstreetpricing','ischinesebrand','marketshare','model','plant','region','series','variancepercentage','color_id','country_id'
1606,122,49.0,130,4,1173.3847272727269,Class 2 (Pantograpgh 1.4 - 2.5T),false,Class 2,36.0,Raymond,38602.94,29541.3968,1173.3847272727269,0.1,117.33847272727508,0.0038057218487497803,30832.12,false,0.36,'',Greenville,Asia,E861,0.1982616227487525,1540,257
1608,122,49.0,130,4,1173.3847272727269,Class 2 (Pantograpgh 1.4 - 2.5T),false,Class 2,24.0,Mitsubishi/Nichiyu,39172.75,29541.3968,1173.3847272727269,0.1,117.33847272727508,0.0038057218487497803,30832.12,false,0.14,'',Greenville,Asia,E861,0.2099237742377731,1538,257
1610,29,40.0,31,17,2627.746994535519,Class 2 (VNA 1.3 - 2.5T),false,Class 2,40.0,Hyster,123400.53,110320.97830601093,2627.746994535519,0.1,262.77469945354096,0.002321095466922892,113211.5,false,0.03,'',Masate,Asia,B869,0.08043932469776635,1533,257
1612,29,40.0,31,17,2627.746994535519,Class 2 (VNA 1.3 - 2.5T),false,Class 2,40.0,Yale,113211.5,110320.97830601093,2627.746994535519,0.1,262.77469945354096,0.002321095466922892,113211.5,false,0.03,'',Masate,Asia,B869,-0.002321095466922892,1532,257
1614,29,40.0,31,17,2627.746994535519,Class 2 (VNA 1.3 - 2.5T),false,Class 2,75.0,Crown,84558.82,110320.97830601093,2627.746994535519,0.1,262.77469945354096,0.002321095466922892,113211.5,false,0.25,'',Masate,Asia,B869,-0.34195669593607775,1534,257
1616,29,40.0,31,17,2627.746994535519,Class 2 (VNA 1.3 - 2.5T),false,Class 2,48.0,Jungheinrich,85294.12,110320.97830601093,2627.746994535519,0.1,262.77469945354096,0.002321095466922892,113211.5,false,0.6,'',Masate,Asia,B869,-0.3303880115001309,1535,257
1618,29,40.0,31,17,2627.746994535519,Class 2 (VNA 1.3 - 2.5T),false,Class 2,26.0,Linde,92279.41,110320.97830601093,2627.746994535519,0.1,262.77469945354096,0.002321095466922892,113211.5,false,0.1,'',Masate,Asia,B869,-0.22968140671308515,1539,257
1922,0,49.0,0,0,10000.0,Class 2 (Pantograpgh 1.4 - 2.5T),false,Class 2,48.0,Mitsubishi,62115.0,52388.0,10000.0,0.1,1000.0,0.015775856629014956,63388.0,false,0.0341,'','',Asia,'',-0.03659341543910489,1538,335
1923,0,49.0,0,0,10000.0,Class 2 (Pantograpgh 1.4 - 2.5T),false,Class 2,75.0,Crown,63319.0,52388.0,10000.0,0.1,1000.0,0.015775856629014956,63388.0,false,0.4545,'','',Asia,'',-0.016882768205435966,1534,335
1924,0,49.0,0,0,10000.0,Class 2 (Pantograpgh 1.4 - 2.5T),false,Class 2,38.0,Raymond,62445.41,52388.0,10000.0,0.1,1000.0,0.015775856629014956,63388.0,false,0.1136,'','',Asia,'',-0.031108611505633422,1540,335
