'id','meta_series','month_year','region_id','std_margin_percentage'
313,'3C6',2023-09-01,4,0.18
314,'464',2023-09-01,4,0.25
316,'3B1',2023-09-01,5,0.24
320,'7S6',2023-09-01,5,0.22
324,'961',2023-09-01,4,0.16
325,'961',2023-09-01,5,0.16
335,'852',2023-09-01,1,0.08
336,'3B8',2023-09-01,1,0.2
337,'7S6',2023-09-01,1,0.25
339,'007',2023-09-01,5,0.08
341,'3B7',2023-09-01,1,0.16
342,'7R6',2023-09-01,4,0.24
343,'852',2023-09-01,4,0.08
344,'961',2023-09-01,1,0.16
345,'7S0',2023-09-01,4,0.15
346,'234',2023-09-01,5,0.25
349,'801',2023-09-01,4,0.09
350,'174',2023-09-01,5,0.09
351,'917',2023-09-01,5,0.25
352,'378',2023-12-01,1,0.2
353,'7S3',2023-12-01,1,0.19
354,'419',2023-12-01,1,0.12
355,'827',2023-12-01,1,0.17
356,'891',2023-12-01,1,0.2
357,'476',2023-12-01,1,0.16
358,'477',2023-12-01,1,0.12
359,'292',2023-12-01,1,0.12
360,'896',2023-12-01,1,0.21
361,'432',2023-12-01,1,0.08
362,'225',2023-12-01,5,0.18
363,'268',2023-12-01,1,0.16
364,'968',2023-12-01,1,0.16
365,'118',2023-12-01,1,0.22
366,'474',2023-12-01,1,0.16
367,'470',2023-12-01,1,0.05
368,'295',2023-12-01,1,0.08
369,'815',2023-12-01,1,0.11
370,'460',2023-12-01,1,0.15
371,'099',2023-12-01,1,0.15
372,'463',2023-12-01,1,0.05
373,'007',2023-12-01,1,0.05
374,'019',2023-12-01,1,0.05
375,'238',2023-12-01,1,0.05
376,'3C0',2023-12-01,1,0.1
377,'214',2023-12-01,1,0.01
378,'366',2023-12-01,1,0.12
379,'289',2023-12-01,1,0.0
380,'008',2023-12-01,1,0.03
381,'917',2023-12-01,1,0.01
382,'222',2023-12-01,1,0.01
383,'001',2023-12-01,1,0.13
384,'810',2023-12-01,1,0.13
385,'268',2023-12-01,5,0.27
386,'968',2023-12-01,5,0.3
387,'985',2023-12-01,5,0.19
388,'099',2023-12-01,5,0.26
389,'955',2023-12-01,5,0.21
390,'7S4',2023-12-01,5,0.2
391,'265',2023-12-01,5,0.25
392,'815',2023-12-01,5,0.1
393,'118',2023-12-01,5,0.1
394,'457',2023-12-01,5,0.13
395,'474',2023-12-01,5,0.2
396,'185',2023-12-01,5,0.23
397,'495',2023-12-01,5,0.26
398,'820',2023-12-01,5,0.26
399,'444',2023-12-01,5,0.14
400,'419',2023-12-01,5,0.23
401,'7R5',2023-12-01,5,0.21
402,'3B0',2023-12-01,5,0.21
403,'3C3',2023-12-01,5,0.18
404,'3B6',2023-12-01,5,0.21
405,'7R6',2023-12-01,5,0.21
406,'290',2023-12-01,5,0.24
407,'875',2023-12-01,5,0.19
408,'878',2023-12-01,5,0.22
409,'019',2023-12-01,5,0.12
410,'877',2023-12-01,5,0.09
411,'222',2023-12-01,5,0.05
412,'238',2023-12-01,5,0.08
413,'366',2023-12-01,5,0.14
414,'299',2023-12-01,5,0.17
415,'3C0',2023-12-01,5,0.13
416,'268',2023-12-01,2,0.27
