'modelcode','brand','clazz','family','metaseries','plant','segment','description','image','trucktype'
F5.0UT,H,Class 5 not BT,'3.5-5.5 Ton ICE P UT','3B9',Maximal,C5 4-9T - Low Intensity, , , 
KDP50UX,Y,Class 5 not BT,'3.5-5.5 Ton ICE P UT','7R9',Maximal,C5 4-9T - Low Intensity, , , 
GDP160EF12,Y,Class 5 BT,'14-18 Ton ICE Pneu FLT','674',Nijmegen,Big Forklift Trucks >16T, , , 
RS45-27CH/RS45-31CH,H,Class 5 BT,Reachstacker,'921',Maximal,Port Equipment - Reachstackers, , , 
J8.0XNSL,H,Class 1,'8-9 Ton Elec 4Wh DBB','250',Nijmegen,C1 4-9T - Standard and Premium, , , 
ERP70-90VNL ,Y,Class 1,'8-9 Ton Elec 4Wh DBB','410',Nijmegen,C1 4-9T - Standard and Premium, , , 
MR14E,Y,Class 2,NA  Small Reach,'942',Masate,C2 - Standard and Premium, , , 
MR16,Y,Class 2,NA  Small Reach,'961',Maximal,C2 - Standard and Premium, , , 
P2.0-3.0S,H,Class 3,'2-3 Ton MH LL Rider','3D9',Maximal,C3 - Standard and Premium, , , 
MP20-30X,Y,Class 3,'2-3 Ton MH LL Rider','7T9',Maximal,C3 - Standard and Premium, , , 
F1.8-3.5UT4,H,Class 5 not BT,'2-3 Ton ICE Pneu - LCT','3B4',Maximal,C5 1-3.5T - Low Intensity, , , 
KDP18-35UX4,Y,Class 5 not BT,'2-3 Ton ICE Pneu - LCT','7S0',Maximal,C5 1-3.5T - Low Intensity, , , 
H2.0-3.5A,H,Class 5 not BT,'2-3 Ton ICE Pneu','177a',Maximal,C5 1-3.5T - Standard and Premium, , , 
GP2.0-3.5N,Y,Class 5 not BT,'2-3 Ton ICE Pneu','875a',Maximal,C5 1-3.5T - Standard and Premium, , , 
J30-40XN,H,Class 1,'1-2 Ton Electric DBB','935a',Greenville,C1 1-3.5T - Standard and Premium, , , 
ERP030-040VF,Y,Class 1,'1-2 Ton Electric DBB','955a',Greenville,C1 1-3.5T - Standard and Premium, , , 
J30-40XNT,H,Class 1,'1-2 Ton 3 Wheel FWD','160a',Greenville,C1 1-3.5T - Standard and Premium, , , 
ERP030-040VT,Y,Class 1,'1-2 Ton 3 Wheel FWD','807a',Greenville,C1 1-3.5T - Standard and Premium, , , 
