'model_code','brand','clazz','family','series','plant','segment','trucktype','description','image','id'
GP55VX,Yale,Class 5 NOT BT,,K813,Craigavon,,,,,6879
MS15XUX,Yale,Class 3,,A7R3,Ruyi,,,,,6880
H18XD6,Hyster,Class 5 BT,,R007,Nijmegen,,,,,6881
J3.0UT,Hyster,Class 1,,A3C4,Maximal,,,,,6882
C1.3L,Hyster,Class 2,,B463,Masate,,,,,6883
H1.6FT,Hyster,Class 5 NOT BT,,G001,Craigavon,,,,,6884
GP16VX,Yale,Class 5 NOT BT,,D810,Craigavon,,,,,6885
RS46-41XD/62S,Hyster,Class 5 BT,,F222,Nijmegen,,,,,6886
MP25X,Yale,Class 3,,A3D9,Maximal,,,,,6887
G16EF9,Yale,Class 5 BT,,K876,Nijmegen,,,,,6888
RS 45-27 CH,Hyster,Class 5 BT,,A404,Maximal,,,,,6889
H18XDS9,Hyster,Class 5 BT,,D236,Nijmegen,,,,,6890
J1.5UT,Hyster,Class 1,,A3C4,Maximal,,,,,6891
GDP12F,Yale,Class 5 BT,,K876,Nijmegen,,,,,6892
S2.0S,Hyster,Class 3,,D442,Masate,,,,,6893
R2.0HD,Hyster,Class 2,,D435,Masate,,,,,6894
MSL15XUX,Yale,Class 3,,A7R7,Ruyi,,,,,6895
ERP16UXT,Yale,Class 1,,A7S5,Maximal,,,,,6896
S1.2S,Hyster,Class 3,,D442,Masate,,,,,6897
ERP50VM,Yale,Class 3,,A985,Craigavon,,,,,6898
ME70XN,Hyster,Class 1,,A268,Greenville,,,,,6899
GP 20MX,Yale,Class 5 NOT BT,,D871,SN,,,,,6900
RS46-29XD/62,Hyster,Class 5 BT,,F222,Nijmegen,,,,,6901
GLP25MX,Yale,Class 5 NOT BT,,D871,SN,,,,,6902
GDP8F9,Yale,Class 5 BT,,K876,Nijmegen,,,,,6903
GDP10F,Yale,Class 5 BT,,J876,Nijmegen,,,,,6904
FB35PYE,Yale,Class 1,,A901,SN,,,,,6905
MS14X,Yale,Class 3,,D847,Masate,,,,,6906
H4.5FT6,Hyster,Class 5 NOT BT,,U005,Craigavon,,,,,6907
RS46-41XD/67,Hyster,Class 5 BT,,F222,Nijmegen,,,,,6908
J2.0GXS,Hyster,Class 1,,C225,SN,,,,,6909
MSL15WUX,Yale,Class 3,,A7R6,Ruyi,,,,,6910
H35XTC,Hyster,'',,D466,'',,,,,6911
GP40VX5,Yale,Class 5 NOT BT,,K813,Craigavon,,,,,6912
ESC030AD,Yale,Class 1,,C883,Greenville,,,,,6913
H10XD6,Hyster,Class 5 BT,,P007,Nijmegen,,,,,6914
F5.0UT,Hyster,Class 5 NOT BT,,A3B9,Maximal,,,,,6915
H11XD-ECD8,Hyster,Class 5 BT,,F214,Nijmegen,,,,,6916
H9XDL6,Hyster,Class 5 BT,,R007,Nijmegen,,,,,6917
P2.0S,Hyster,Class 3,,E439,Masate,,,,,6918
GDP10D,Yale,Class 5 BT,,K876,Nijmegen,,,,,6919
GP40UX,Yale,Class 5 NOT BT,,A7S6,Maximal,,,,,6920
J4.5XN,Hyster,Class 3,,A970,Craigavon,,,,,6921
J1.8UTT,Hyster,Class 1,,A3C5,Maximal,,,,,6922
H2.0FTS,Hyster,Class 5 NOT BT,,G001,Craigavon,,,,,6923
