'id','file_name','uploaded_time','uuid','uploadedby_id','success','message','path','loading','size','model_type'
5152,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024111620.xlsx,2024-03-21 11:16:20.827,ece3c213-d21c-42b3-a891-4bef3c52e989,1,false,Missing column [Quote Number:],uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024111620.xlsx,false,675366,11
5153,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVC54bHN4_21032024112504.xlsx,2024-03-21 11:25:04.372,'5964593f-83e8-4823-98e5-ff4ad3109ae6',1,true,,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVC54bHN4_21032024112504.xlsx,false,800139,11
5406,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024160830.xlsx,2024-03-21 16:08:31.018,a31df129-00e2-42af-a825-0f585ba3f753,1,true,,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024160830.xlsx,false,675401,11
1063,RVhDREVDMjAyMy54bHN4_06022024113018.xlsx,2024-02-06 11:30:18.370,'87917ca1-24cc-4c2e-8d71-f42b5120239a',1,false,,,false,0,
5702,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024162710.xlsx,2024-03-21 16:27:10.313,'97cba264-10c5-4487-94ce-b5ebbc277f0d',1,false,Cannot get a NUMERIC value from a STRING cell,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024162710.xlsx,false,675419,11
6002,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024170114.xlsx,2024-03-21 17:01:14.803,'385eafb2-713d-4650-9392-8bbf63e86fd2',1,false,,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024170114.xlsx,true,675419,11
6302,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024174631.xlsx,2024-03-21 17:46:31.627,'7dacad7c-1b30-4eb1-9605-20959cd93cd6',1,false,,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024174631.xlsx,true,675419,11
6502,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_25032024092316.xlsx,2024-03-25 09:23:16.807,'1201639f-dd5e-4aa5-b079-33bd0550db11',1,false,,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_25032024092316.xlsx,true,675419,11
6702,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_25032024095342.xlsx,2024-03-25 09:53:42.164,bea4964a-f57b-4289-9068-65cefb449213,1,false,,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_25032024095342.xlsx,true,675419,11
6852,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_25032024100221.xlsx,2024-03-25 10:02:21.029,'293a1863-39aa-459b-869c-cc5f1b83851e',1,false,Incorrect format of Cell 5:3,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_25032024100221.xlsx,false,675419,11
