'country','years','gdp','per_capita','growth','share_of_world'
315,2011,892969104563.171,3613.8008884858,6.16978420771008,0.012072837154756627
315,2010,755094157621.936,3094.44307866403,6.2238541798264,0.011319551850303557
315,2009,539580085616.492,2239.09526529896,4.62887118346032,0.008862141424348987
315,2008,510228634990.598,2144.38954419287,6.01370359922831,0.00794406569089829
315,2007,432216737774.861,1840.32992667702,6.34502222761846,0.007395047346448667
315,2006,364570515618.357,1572.79793972155,5.50095178537065,0.007029542703510693
315,2005,285868619196.085,1249.39769359418,5.69257130261316,0.005973112005803122
315,2004,256836875295.452,1136.75521127965,5.03087394494024,0.0058113913762148535
315,2003,234772463823.808,1052.41319921916,4.78036912376109,0.005986157139939931
315,2002,195660611165.183,888.901389665655,4.49947538889633,0.005593100615561364
315,2001,160446947784.909,739.003946535355,3.64346644786215,0.004762561667079326
315,2000,165021012077.81,770.865351580294,4.92006774777576,0.004868024461311525
326,2022,407027451714.616,11993.1876132994,8.65034422372288,0.004034786119054641
326,2021,373832428055.449,11134.6229528189,3.29764100831838,0.0038478660562949033
326,2020,337456163961.211,10164.344431073,-5.45684658426701,0.003957377422872549
326,2019,365177721021.516,11132.1027429418,4.41318742129586,0.004160270235414558
326,2018,358788845712.53,11073.9789704691,4.84308697634881,0.004145802432532494
326,2017,319109094160.343,9979.70447282371,5.81272240983328,0.003916212978534236
326,2016,301256033870.334,9555.66959336559,4.44978139761541,0.003937010633323095
326,2015,301355266964.947,9699.60046342736,5.09153242155011,0.00400295131648465
326,2014,338066095097.254,11045.5801207599,6.00672194558203,0.004234445570722797
326,2013,323276235524.415,10727.6690215542,4.69372252557893,0.004159781048360591
326,2012,314443047642.111,10601.5104558966,5.47345419253853,0.004158609288326125
326,2011,297951668674.835,10209.3719445027,5.29391283414003,0.004028271479402359
326,2010,255017638455.59,8880.14580454109,7.42484738326097,0.003822947578261274
326,2009,202257453036.641,7167.87719423373,-1.51352871598714,0.0033219056831784435
326,2008,230811614370.384,8343.3033817446,4.83176988913097,0.003593649005635291
326,2007,193549569477.733,7144.00023998183,6.29878592740947,0.003311552064228828
326,2006,162692258307.056,6137.15053996313,5.5848470671515,0.003136984830932545
326,2005,143534405818.501,5536.83748306949,5.33213916141486,0.002999094776654125
326,2004,124749473684.211,4924.33811126582,6.78343772370305,0.002822678849062462
326,2003,110202368421.053,4454.52676383656,5.7884992858875,0.0028099065955923186
326,2002,100845526315.789,4177.10494176499,5.39098830692797,0.002882742581424675
326,2001,92783947368.4211,3941.12266621369,0.517675319192861,0.0027541145354134954
326,2000,93789736842.1053,4087.56259349384,8.85886816969386,0.002766743019077226
307,2022,404284326110.463,3498.5098055874,7.57033248795027,0.004007594033941375
307,2021,394087359844.049,3460.53938169242,5.71473313483246,0.00405635055002203
307,2020,361751145451.597,3224.42281121767,-9.5182947406494,0.004242286757793489
307,2019,376823402244.928,3413.84904430419,6.11852566118505,0.004292943118166988
307,2018,346841896583.515,3194.67270132209,6.34148557098946,0.004007755524574556
307,2017,328480736798.792,3077.43441889625,6.93098832521765,0.0040312248951561965
